"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","1","Acta Inf.-33","Acta Informatica","Acta Inf.","N;33;N","ISSN 14320525, 00015903","1996","Q2","Germany","32","0.327"
"2","2","Acta Inf.-20","Acta Informatica","Acta Inf.","N;20;N","ISSN 14320525, 00015903","1983","Q2","Germany","32","0.327"
"3","4","Acta Inf.-17","Acta Informatica","Acta Inf.","N;17;N","ISSN 14320525, 00015903","1982","Q2","Germany","32","0.327"
"4","5","Acta Inf.-7","Acta Informatica","Acta Inf.","N;7;N","ISSN 14320525, 00015903","1977","Q2","Germany","32","0.327"
"5","6","Acta Inf.-48","Acta Informatica","Acta Inf.","N;48;N","ISSN 14320525, 00015903","2011","Q2","Germany","32","0.327"
"6","7","Acta Inf.-24","Acta Informatica","Acta Inf.","N;24;N","ISSN 14320525, 00015903","1987","Q2","Germany","32","0.327"
"7","8","Acta Inf.-25","Acta Informatica","Acta Inf.","N;25;N","ISSN 14320525, 00015903","1988","Q2","Germany","32","0.327"
"8","9","Acta Inf.-10","Acta Informatica","Acta Inf.","N;10;N","ISSN 14320525, 00015903","1978","Q2","Germany","32","0.327"
"9","10","Acta Inf.-49","Acta Informatica","Acta Inf.","N;49;N","ISSN 14320525, 00015903","2012","Q2","Germany","32","0.327"
"10","11","Acta Inf.-43","Acta Informatica","Acta Inf.","N;43;N","ISSN 14320525, 00015903","2006","Q2","Germany","32","0.327"
"11","12","Acta Inf.-50","Acta Informatica","Acta Inf.","N;50;N","ISSN 14320525, 00015903","2013","Q2","Germany","32","0.327"
"12","14","Acta Inf.-28","Acta Informatica","Acta Inf.","N;28;N","ISSN 14320525, 00015903","1991","Q2","Germany","32","0.327"
"13","16","Acta Inf.-11","Acta Informatica","Acta Inf.","N;11;N","ISSN 14320525, 00015903","1978","Q2","Germany","32","0.327"
"14","17","Acta Inf.-23","Acta Informatica","Acta Inf.","N;23;N","ISSN 14320525, 00015903","1986","Q2","Germany","32","0.327"
"15","18","Acta Inf.-38","Acta Informatica","Acta Inf.","N;38;N","ISSN 14320525, 00015903","2002","Q2","Germany","32","0.327"
"16","19","Acta Inf.-51","Acta Informatica","Acta Inf.","N;51;N","ISSN 14320525, 00015903","2014","Q2","Germany","32","0.327"
"17","21","Acta Inf.-1","Acta Informatica","Acta Inf.","N;1;N","ISSN 14320525, 00015903","1972","Q2","Germany","32","0.327"
"18","22","Acta Inf.-6","Acta Informatica","Acta Inf.","N;6;N","ISSN 14320525, 00015903","1976","Q2","Germany","32","0.327"
"19","23","Acta Inf.-32","Acta Informatica","Acta Inf.","N;32;N","ISSN 14320525, 00015903","1995","Q2","Germany","32","0.327"
"20","25","Acta Inf.-36","Acta Informatica","Acta Inf.","N;36;N","ISSN 14320525, 00015903","2000","Q2","Germany","32","0.327"
"21","26","Acta Inf.-46","Acta Informatica","Acta Inf.","N;46;N","ISSN 14320525, 00015903","2009","Q2","Germany","32","0.327"
"22","27","Acta Inf.-15","Acta Informatica","Acta Inf.","N;15;N","ISSN 14320525, 00015903","1981","Q2","Germany","32","0.327"
"23","29","Acta Inf.-54","Acta Informatica","Acta Inf.","N;54;N","ISSN 14320525, 00015903","2017","Q2","Germany","32","0.327"
"24","30","Acta Inf.-45","Acta Informatica","Acta Inf.","N;45;N","ISSN 14320525, 00015903","2008","Q2","Germany","32","0.327"
"25","31","Acta Inf.-8","Acta Informatica","Acta Inf.","N;8;N","ISSN 14320525, 00015903","1977","Q2","Germany","32","0.327"
"26","32","Acta Inf.-3","Acta Informatica","Acta Inf.","N;3;N","ISSN 14320525, 00015903","1974","Q2","Germany","32","0.327"
"27","33","Acta Inf.-14","Acta Informatica","Acta Inf.","N;14;N","ISSN 14320525, 00015903","1980","Q2","Germany","32","0.327"
"28","34","Acta Inf.-26","Acta Informatica","Acta Inf.","N;26;N","ISSN 14320525, 00015903","1989","Q2","Germany","32","0.327"
"29","37","Acta Inf.-52","Acta Informatica","Acta Inf.","N;52;N","ISSN 14320525, 00015903","2015","Q2","Germany","32","0.327"
"30","40","Acta Inf.-22","Acta Informatica","Acta Inf.","N;22;N","ISSN 14320525, 00015903","1985","Q2","Germany","32","0.327"
"31","42","Acta Inf.-18","Acta Informatica","Acta Inf.","N;18;N","ISSN 14320525, 00015903","1982","Q2","Germany","32","0.327"
"32","43","Acta Inf.-16","Acta Informatica","Acta Inf.","N;16;N","ISSN 14320525, 00015903","1981","Q2","Germany","32","0.327"
"33","46","Acta Inf.-30","Acta Informatica","Acta Inf.","N;30;N","ISSN 14320525, 00015903","1993","Q2","Germany","32","0.327"
"34","48","Acta Inf.-34","Acta Informatica","Acta Inf.","N;34;N","ISSN 14320525, 00015903","1997","Q2","Germany","32","0.327"
"35","49","Acta Inf.-9","Acta Informatica","Acta Inf.","N;9;N","ISSN 14320525, 00015903","1978","Q2","Germany","32","0.327"
"36","54","Acta Inf.-5","Acta Informatica","Acta Inf.","N;5;N","ISSN 14320525, 00015903","1975","Q2","Germany","32","0.327"
"37","55","Acta Inf.-31","Acta Informatica","Acta Inf.","N;31;N","ISSN 14320525, 00015903","1994","Q2","Germany","32","0.327"
"38","60","Acta Inf.-12","Acta Informatica","Acta Inf.","N;12;N","ISSN 14320525, 00015903","1979","Q2","Germany","32","0.327"
"39","64","Acta Inf.-29","Acta Informatica","Acta Inf.","N;29;N","ISSN 14320525, 00015903","1992","Q2","Germany","32","0.327"
"40","69","Acta Inf.-53","Acta Informatica","Acta Inf.","N;53;N","ISSN 14320525, 00015903","2016","Q2","Germany","32","0.327"
"41","75","Acta Inf.-4","Acta Informatica","Acta Inf.","N;4;N","ISSN 14320525, 00015903","1974","Q2","Germany","32","0.327"
"42","76","Acta Inf.-19","Acta Informatica","Acta Inf.","N;19;N","ISSN 14320525, 00015903","1983","Q2","Germany","32","0.327"
"43","80","Acta Inf.-13","Acta Informatica","Acta Inf.","N;13;N","ISSN 14320525, 00015903","1980","Q2","Germany","32","0.327"
"44","92","Acta Inf.-47","Acta Informatica","Acta Inf.","N;47;N","ISSN 14320525, 00015903","2010","Q2","Germany","32","0.327"
"45","95","Acta Inf.-44","Acta Informatica","Acta Inf.","N;44;N","ISSN 14320525, 00015903","2007","Q2","Germany","32","0.327"
"46","100","Acta Inf.-42","Acta Informatica","Acta Inf.","N;42;N","ISSN 14320525, 00015903","2005","Q2","Germany","32","0.327"
"47","106","Acta Inf.-35","Acta Informatica","Acta Inf.","N;35;N","ISSN 14320525, 00015903","1998","Q2","Germany","32","0.327"
"48","107","Acta Inf.-37","Acta Informatica","Acta Inf.","N;37;N","ISSN 14320525, 00015903","2001","Q2","Germany","32","0.327"
"49","108","Acta Inf.-27","Acta Informatica","Acta Inf.","N;27;N","ISSN 14320525, 00015903","1990","Q2","Germany","32","0.327"
"50","139","Acta Inf.-39","Acta Informatica","Acta Inf.","N;39;N","ISSN 14320525, 00015903","2003","Q2","Germany","32","0.327"
"51","149","Acta Inf.-21","Acta Informatica","Acta Inf.","N;21;N","ISSN 14320525, 00015903","1984","Q2","Germany","32","0.327"
"52","157","Acta Inf.-41","Acta Informatica","Acta Inf.","N;41;N","ISSN 14320525, 00015903","2005","Q2","Germany","32","0.327"
"53","173","Acta Inf.-40","Acta Informatica","Acta Inf.","N;40;N","ISSN 14320525, 00015903","2004","Q2","Germany","32","0.327"
"54","563","Acta Inf.-2","Acta Informatica","Acta Inf.","N;2;N","ISSN 14320525, 00015903","1973","Q2","Germany","32","0.327"
"55","564","Acta Inf.-55","Acta Informatica","Acta Inf.","N;55;N","ISSN 14320525, 00015903","2018","Q2","Germany","32","0.327"
"56","1465","ACM Trans. Spatial Algorithms and Systems-1","ACM Transactions on Autonomous and Adaptive Systems","ACM Trans. Spatial Algorithms and Systems","N;1;N","ISSN 15564665","2015","Q2","United States","30","0.392"
"57","1466","ACM Trans. Spatial Algorithms and Systems-2","ACM Transactions on Autonomous and Adaptive Systems","ACM Trans. Spatial Algorithms and Systems","N;2;N","ISSN 15564665","2016","Q2","United States","30","0.392"
"58","1469","ACM Trans. Spatial Algorithms and Systems-3","ACM Transactions on Autonomous and Adaptive Systems","ACM Trans. Spatial Algorithms and Systems","N;3;N","ISSN 15564665","2017","Q2","United States","30","0.392"
"59","1499","Displays-32","Displays","Displays","Elsevier","32","N;ISSN 01419382;2011;Q2;Netherlands;47;0.444
1500;Displays-34;Displays;Displays;Elsevier;34;N","ISSN 01419382","2013","Q2","Netherlands"
"60","47","0.444","","","","","","","","",""
"61","1501","Displays-38","Displays","Displays","Elsevier","38","N;ISSN 01419382;2015;Q2;Netherlands;47;0.444
1503;Displays-29;Displays;Displays;Elsevier;29;N","ISSN 01419382","2008","Q2","Netherlands"
"62","47","0.444","","","","","","","","",""
"63","1504","Displays-41","Displays","Displays","Elsevier","41","N;ISSN 01419382;2016;Q2;Netherlands;47;0.444
1505;Displays-33;Displays;Displays;Elsevier;33;N","ISSN 01419382","2012","Q2","Netherlands"
"64","47","0.444","","","","","","","","",""
"65","1506","Displays-27","Displays","Displays","Elsevier","27","N;ISSN 01419382;2006;Q2;Netherlands;47;0.444
1507;Displays-26;Displays;Displays;Elsevier;26;N","ISSN 01419382","2005","Q2","Netherlands"
"66","47","0.444","","","","","","","","",""
"67","1509","Displays-28","Displays","Displays","Elsevier","28","N;ISSN 01419382;2007;Q2;Netherlands;47;0.444
1510;Displays-48;Displays;Displays;Elsevier;48;N","ISSN 01419382","2017","Q2","Netherlands"
"68","47","0.444","","","","","","","","",""
"69","1514","Displays-40","Displays","Displays","Elsevier","40","N;ISSN 01419382;2015;Q2;Netherlands;47;0.444
1517;Displays-39;Displays;Displays;Elsevier;39;N","ISSN 01419382","2015","Q2","Netherlands"
"70","47","0.444","","","","","","","","",""
"71","1520","Displays-46","Displays","Displays","Elsevier","46","N;ISSN 01419382;2017;Q2;Netherlands;47;0.444
1526;Displays-42;Displays;Displays;Elsevier;42;N","ISSN 01419382","2016","Q2","Netherlands"
"72","47","0.444","","","","","","","","",""
"73","1527","Displays-44","Displays","Displays","Elsevier","44","N;ISSN 01419382;2016;Q2;Netherlands;47;0.444
1536;Displays-35;Displays;Displays;Elsevier;35;N","ISSN 01419382","2014","Q2","Netherlands"
"74","47","0.444","","","","","","","","",""
"75","1539","Displays-49","Displays","Displays","Elsevier","49","N;ISSN 01419382;2017;Q2;Netherlands;47;0.444
1542;Displays-31;Displays;Displays;Elsevier;31;N","ISSN 01419382","2010","Q2","Netherlands"
"76","47","0.444","","","","","","","","",""
"77","1544","Displays-30","Displays","Displays","Elsevier","30","N;ISSN 01419382;2009;Q2;Netherlands;47;0.444
1555;Displays-36;Displays;Displays;Elsevier;36;N","ISSN 01419382","2015","Q2","Netherlands"
"78","47","0.444","","","","","","","","",""
"79","1587","Displays-50","Displays","Displays","Elsevier","50","N;ISSN 01419382;2017;Q2;Netherlands;47;0.444
1614;Displays-45;Displays;Displays;Elsevier;45;N","ISSN 01419382","2016","Q2","Netherlands"
"80","47","0.444","","","","","","","","",""
"81","1662","Displays-43","Displays","Displays","Elsevier","43","N;ISSN 01419382;2016;Q2;Netherlands;47;0.444
1664;Displays-47;Displays;Displays;Elsevier;47;N","ISSN 01419382","2017","Q2","Netherlands"
"82","47","0.444","","","","","","","","",""
"83","1684","Displays-37","Displays","Displays","Elsevier","37","N;ISSN 01419382;2015;Q2;Netherlands;47;0.444
2049;IJKDB-5;IJKDB;IJKDB;N","5","N;N","2015","N;N"
"84","N;N","","","","","","","","","",""
"85","2050","IJKDB-1","IJKDB","IJKDB","N;1;N","N;2010;N","N;N","N
2052;IJKDB-4;IJKDB;IJKDB;N","4","N;N","2014"
"86","N;N","N;N","","","","","","","","",""
"87","2053","IJKDB-2","IJKDB","IJKDB","N;2;N","N;2011;N","N;N","N
2054;IJKDB-3;IJKDB;IJKDB;N","3","N;N","2012"
"88","N;N","N;N","","","","","","","","",""
"89","2056","IJKDB-6","IJKDB","IJKDB","N;6;N","N;2016;N","N;N","N
2063;IJKDB-7;IJKDB;IJKDB;N","7","N;N","2017"
"90","N;N","N;N","","","","","","","","",""
"91","2132","Computers in Industry-46","Computers in Industry","Computers in Industry","Elsevier","46","N;ISSN 01663615;2001;Q1;Netherlands;80;0.894
2133;Computers in Industry-74;Computers in Industry;Computers in Industry;Elsevier;74;N","ISSN 01663615","2015","Q1","Netherlands"
"92","80","0.894","","","","","","","","",""
"93","2134","Computers in Industry-62","Computers in Industry","Computers in Industry","Elsevier","62","N;ISSN 01663615;2011;Q1;Netherlands;80;0.894
2135;Computers in Industry-69;Computers in Industry;Computers in Industry;Elsevier;69;N","ISSN 01663615","2015","Q1","Netherlands"
"94","80","0.894","","","","","","","","",""
"95","2136","Computers in Industry-48","Computers in Industry","Computers in Industry","Elsevier","48","N;ISSN 01663615;2002;Q1;Netherlands;80;0.894
2137;Computers in Industry-57;Computers in Industry;Computers in Industry;Elsevier;57;N","ISSN 01663615","2006","Q1","Netherlands"
"96","80","0.894","","","","","","","","",""
"97","2138","Computers in Industry-56","Computers in Industry","Computers in Industry","Elsevier","56","N;ISSN 01663615;2005;Q1;Netherlands;80;0.894
2139;Computers in Industry-81;Computers in Industry;Computers in Industry;Elsevier;81;N","ISSN 01663615","2016","Q1","Netherlands"
"98","80","0.894","","","","","","","","",""
"99","2140","Computers in Industry-63","Computers in Industry","Computers in Industry","Elsevier","63","N;ISSN 01663615;2012;Q1;Netherlands;80;0.894
2141;Computers in Industry-58;Computers in Industry;Computers in Industry;Elsevier;58;N","ISSN 01663615","2007","Q1","Netherlands"
"100","80","0.894","","","","","","","","",""
